Group,Set,Repeat,Cu_content,Temperature,Time,EDTA,Sheet resistance,AVT (380-780 nm),Figure of Merit,FoM,mean (FOM)
1,1,1,0.65,60,30,0.02,782,0.802,0.000140779,140.7786933,138.0204928
1,1,2,0.65,60,30,0.02,794,0.803,0.00014039,140.3896044,
1,1,3,0.65,60,30,0.02,788,0.798,0.000132893,132.8931807,
1,2,1,0.65,60,60,0.03,566,0.802,0.000194503,194.5034243,178.2960299
1,2,2,0.65,60,60,0.03,578,0.79,0.000163811,163.8110049,
1,2,3,0.65,60,60,0.03,564,0.794,0.000176574,176.5736605,
1,3,1,0.65,60,90,0.07,812,0.782,0.00010532,105.3201579,109.7989336
1,3,2,0.65,60,90,0.07,833,0.788,0.00011082,110.8197519,
1,3,3,0.65,60,90,0.07,836,0.79,0.000113257,113.2568909,
1,4,1,0.65,60,120,0.1,610,0.792,0.000159192,159.1922719,147.653063
1,4,2,0.65,60,120,0.1,622,0.788,0.000148413,148.4129475,
1,4,3,0.65,60,120,0.1,608,0.779,0.000135354,135.3539697,
1,5,1,0.65,70,30,0.03,521,0.789,0.000179445,179.4453913,193.1884498
1,5,2,0.65,70,30,0.03,483,0.794,0.000206185,206.1853924,
1,5,3,0.65,70,30,0.03,476,0.788,0.000193935,193.9345658,
1,6,1,0.65,70,60,0.07,427,0.776,0.000185434,185.4339876,184.3279944
1,6,2,0.65,70,60,0.07,420,0.773,0.000181362,181.3617296,
1,6,3,0.65,70,60,0.07,442,0.779,0.000186188,186.188266,
1,7,1,0.65,70,90,0.1,760,0.654,1.88E-05,18.83492482,18.15784779
1,7,2,0.65,70,90,0.1,779,0.656,1.89E-05,18.94527598,
1,7,3,0.65,70,90,0.1,782,0.648,1.67E-05,16.69334256,
1,8,1,0.65,70,120,0.02,588,0.669,3.05E-05,30.5410421,32.76056855
1,8,2,0.65,70,120,0.02,574,0.672,3.27E-05,32.71755477,
1,8,3,0.65,70,120,0.02,569,0.676,3.50E-05,35.02310878,
1,9,1,0.65,80,30,0.07,670,0.722,5.75E-05,57.45094451,54.03470172
1,9,2,0.65,80,30,0.07,656,0.719,5.63E-05,56.28401427,
1,9,3,0.65,80,30,0.07,673,0.71,4.84E-05,48.36914637,
1,10,1,0.65,80,60,0.1,923,0.704,3.24E-05,32.39849902,35.18618222
1,10,2,0.65,80,60,0.1,937,0.712,3.57E-05,35.73224849,
1,10,3,0.65,80,60,0.1,920,0.714,3.74E-05,37.42779916,
1,11,1,0.65,80,90,0.02,782,0.758,8.01E-05,80.0728531,71.95683367
1,11,2,0.65,80,90,0.02,789,0.743,6.50E-05,64.9847024,
1,11,3,0.65,80,90,0.02,764,0.747,7.08E-05,70.81294552,
1,12,1,0.65,80,120,0.03,683,0.733,6.56E-05,65.55699569,62.89203165
1,12,2,0.65,80,120,0.03,677,0.727,6.09E-05,60.91937512,
1,12,3,0.65,80,120,0.03,654,0.726,6.22E-05,62.19972416,
1,13,1,0.65,90,30,0.1,829,0.646,1.53E-05,15.26759565,14.75674764
1,13,2,0.65,90,30,0.1,883,0.65,1.52E-05,15.24659495,
1,13,3,0.65,90,30,0.1,892,0.644,1.38E-05,13.75605233,
1,14,1,0.65,90,60,0.02,569,0.748,9.64E-05,96.36153561,101.4240032
1,14,2,0.65,90,60,0.02,551,0.752,0.000104961,104.9607214,
1,14,3,0.65,90,60,0.02,547,0.75,0.00010295,102.9497527,
1,15,1,0.65,90,90,0.03,442,0.744,0.000117573,117.5728609,120.2484133
1,15,2,0.65,90,90,0.03,437,0.75,0.000128864,128.8638781,
1,15,3,0.65,90,90,0.03,420,0.739,0.000115663,115.6631707,
1,15,4,0.65,90,90,0.03,443,0.745,0.000118894,118.8937434,
1,16,1,0.65,90,120,0.07,511,0.698,5.37E-05,53.71966876,58.10756716
1,16,2,0.65,90,120,0.07,522,0.702,5.57E-05,55.68017843,
1,16,3,0.65,90,120,0.07,526,0.704,5.69E-05,56.85135855,
1,16,4,0.65,90,120,0.07,485,0.709,6.62E-05,66.1790629,
1,17,1,0.85,60,30,0.02,522,0.656,2.83E-05,28.27273944,31.02352749
1,17,2,0.85,60,30,0.02,531,0.662,3.04E-05,30.44285459,
1,17,3,0.85,60,30,0.02,539,0.67,3.38E-05,33.8188832,
1,17,4,0.85,60,30,0.02,520,0.663,3.16E-05,31.55963272,
1,18,1,0.85,60,60,0.03,325,0.709,9.88E-05,98.75952464,102.7743702
1,18,2,0.85,60,60,0.03,356,0.721,0.000106636,106.6357061,
1,18,3,0.85,60,60,0.03,332,0.717,0.000108157,108.1567112,
1,18,4,0.85,60,60,0.03,353,0.714,9.75E-05,97.5455389,
1,19,1,0.85,60,90,0.07,440,0.696,6.06E-05,60.62332043,54.41621462
1,19,2,0.85,60,90,0.07,429,0.684,5.23E-05,52.25209707,
1,19,3,0.85,60,90,0.07,427,0.688,5.56E-05,55.64889016,
1,19,4,0.85,60,90,0.07,443,0.682,4.91E-05,49.14055083,
1,20,1,0.85,60,120,0.1,485,0.655,3.00E-05,29.96893166,33.88629496
1,20,2,0.85,60,120,0.1,458,0.658,3.32E-05,33.21952805,
1,20,3,0.85,60,120,0.1,463,0.66,3.39E-05,33.87336676,
1,20,4,0.85,60,120,0.1,488,0.672,3.85E-05,38.48335336,
1,21,1,0.85,70,30,0.03,388,0.7,7.28E-05,72.80289923,80.41941117
1,21,2,0.85,70,30,0.03,392,0.709,8.19E-05,81.87970792,
1,21,3,0.85,70,30,0.03,376,0.71,8.66E-05,86.57562636,
1,22,1,0.85,70,60,0.07,445,0.637,2.47E-05,24.71919437,24.8643679
1,22,2,0.85,70,60,0.07,469,0.635,2.27E-05,22.72816692,
1,22,3,0.85,70,60,0.07,462,0.644,2.66E-05,26.5593045,
1,22,4,0.85,70,60,0.07,453,0.64,2.55E-05,25.45080584,
1,23,1,0.85,70,90,0.1,478,0.596,1.18E-05,11.83136086,11.01334911
1,23,2,0.85,70,90,0.1,484,0.577,8.45E-06,8.45109084,
1,23,3,0.85,70,90,0.1,490,0.602,1.28E-05,12.75759563,
1,24,1,0.85,70,120,0.02,536,0.663,3.06E-05,30.61755413,31.99081035
1,24,2,0.85,70,120,0.02,544,0.672,3.45E-05,34.52183169,
1,24,3,0.85,70,120,0.02,501,0.659,3.08E-05,30.83304524,
1,25,1,0.85,80,30,0.07,479,0.62,1.75E-05,17.52190743,20.68638122
1,25,2,0.85,80,30,0.07,484,0.636,2.24E-05,22.37308099,
1,25,3,0.85,80,30,0.07,466,0.633,2.22E-05,22.16415525,
1,26,1,0.85,80,60,0.1,538,0.686,4.29E-05,42.90015698,30.18735669
1,26,2,0.85,80,60,0.1,542,0.649,2.45E-05,24.459506,
1,26,3,0.85,80,60,0.1,554,0.647,2.32E-05,23.20240707,
1,27,1,0.85,80,90,0.02,288,0.688,8.25E-05,82.50720867,81.86103392
1,27,2,0.85,80,90,0.02,263,0.673,7.25E-05,72.47611305,
1,27,3,0.85,80,90,0.02,270,0.69,9.06E-05,90.59978002,
1,28,1,0.85,80,120,0.03,265,0.643,4.56E-05,45.58939777,51.11225479
1,28,2,0.85,80,120,0.03,248,0.647,5.18E-05,51.83118354,
1,28,3,0.85,80,120,0.03,256,0.654,5.59E-05,55.91618305,
1,29,1,0.85,90,30,0.1,310,0.578,1.34E-05,13.42507407,12.19837711
1,29,2,0.85,90,30,0.1,322,0.577,1.27E-05,12.70288188,
1,29,3,0.85,90,30,0.1,327,0.56,9.28E-06,9.27539722,
1,29,4,0.85,90,30,0.1,333,0.582,1.34E-05,13.39015527,
1,30,1,0.85,90,60,0.02,253,0.704,0.000118197,118.1968956,125.2352282
1,30,2,0.85,90,60,0.02,240,0.708,0.000131863,131.8625091,
1,30,3,0.85,90,60,0.02,238,0.704,0.000125646,125.6462798,
1,31,1,0.85,90,90,0.03,247,0.713,0.000137467,137.4669653,149.3546043
1,31,2,0.85,90,90,0.03,232,0.722,0.000165914,165.9143656,
1,31,3,0.85,90,90,0.03,289,0.728,0.000144682,144.682482,
1,32,1,0.85,90,120,0.07,385,0.599,1.54E-05,15.44569641,14.13215284
1,32,2,0.85,90,120,0.07,377,0.579,1.12E-05,11.23166876,
1,32,3,0.85,90,120,0.07,364,0.592,1.45E-05,14.5249847,
1,32,4,0.85,90,120,0.07,369,0.596,1.53E-05,15.3262615,
